# SHEET: Warrant 기준
                          Country       Location           Site  Customer               PJT                              MODEL                              Warranty기준 Unnamed: 7                                     비고  Unnamed: 9 Customer 별 Warranty 시작 기준 날짜와 기간    Unnamed: 11 Unnamed: 12
                            CHINA        Chengdu            BOE  APSYSTEM          42000326                              RS-04                 인보이스 발행일(장비 출하일자)로부터 1년        NaN FAB IN + 1년 -> 인보이스 발행일(장비 출하일자)로부터 1년         NaN                         Customer          기준 날짜          기간
                            CHINA        Chengdu            BOE  APSYSTEM          42000293                              RS-04                 인보이스 발행일(장비 출하일자)로부터 1년        NaN FAB IN + 1년 -> 인보이스 발행일(장비 출하일자)로부터 1년         NaN                         APSYSTEM         Fab In         365
                            CHINA        Chengdu            BOE  APSYSTEM          42000325                              RS-04                 인보이스 발행일(장비 출하일자)로부터 1년        NaN FAB IN + 1년 -> 인보이스 발행일(장비 출하일자)로부터 1년         NaN                              AUO         Fab In         365
                            CHINA        Chengdu            BOE  APSYSTEM          42000294                              RS-04                 인보이스 발행일(장비 출하일자)로부터 1년        NaN FAB IN + 1년 -> 인보이스 발행일(장비 출하일자)로부터 1년         NaN                             CSOT            FAT         730
                            CHINA          Wuhan           CSOT  APSYSTEM          42100126                            RS-20CW                 인보이스 발행일(장비 출하일자)로부터 1년        NaN FAB IN + 1년 -> 인보이스 발행일(장비 출하일자)로부터 1년         NaN                              GVO            FAT         365
                            CHINA          Wuhan           CSOT       LIS          42100155                              RS-02              인보이스 발행일(장비 출하일자)로부터 1년6개월        NaN                                    NaN         NaN                         INFINEON         Fab In         365
                            CHINA          Wuhan           CSOT       LIS          42100156                              RS-03              인보이스 발행일(장비 출하일자)로부터 1년6개월        NaN                                    NaN         NaN                          LAM KTC         Fab In         365
                            CHINA       Shanghai            EDO  APSYSTEM          42100064                            RS-20CW                 인보이스 발행일(장비 출하일자)로부터 1년        NaN FAB IN + 1년 -> 인보이스 발행일(장비 출하일자)로부터 1년         NaN                              LIS         Fab In         545
                            CHINA       Shanghai            EDO    NISSIN          42100053                              RS-15                             FAB IN + 1년        NaN                                    NaN         NaN                           MICRON        Turn-on         730
                            CHINA       Shanghai            EDO       SFA          42100096                              RD-03                 인보이스 발행일(장비 출하일자)로부터 1년        NaN FAB IN + 1년 -> 인보이스 발행일(장비 출하일자)로부터 1년         NaN                           NISSIN         Fab In         365
                            CHINA          Gu'an            GVO       GVO          42000396                        HDRS-152208                              FAT승인 + 1년        NaN                                    NaN         NaN                             SEUL         Fab In         455
                            CHINA          Gu'an            GVO       GVO          42000387                        RSHD-081522                              FAT승인 + 1년        NaN                                    NaN         NaN                              SFA         Fab In         365
                            CHINA          Gu'an            GVO       GVO          42000390                              RS-20                              FAT승인 + 1년        NaN                                    NaN         NaN                        SGS Korea         Fab In         365
                            CHINA          Gu'an            GVO       GVO          42000391                              RS-02                              FAT승인 + 1년        NaN                                    NaN         NaN                         SILTERRA         Fab In         365
                            CHINA          Gu'an            GVO       GVO          42000401                         RS-02DIST5                              FAT승인 + 1년        NaN                                    NaN         NaN                             SONY        Turn-on         365
                            CHINA          Gu'an            GVO       GVO          42000392                              RD-04                              FAT승인 + 1년        NaN                                    NaN         NaN                         TMH Inc.        Turn-on         365
                            CHINA          Gu'an            GVO     ZISYS          42000400                              RS-04                              FAT승인 + 1년        NaN                                    NaN         NaN                              TES         Fab In         365
                            CHINA          Gu'an            GVO       GVO          42000394                              RS-06                              FAT승인 + 1년        NaN                                    NaN         NaN                             TSMC        Turn-on         730
                            CHINA          Gu'an            GVO       GVO          42000395                              HD-08                              FAT승인 + 1년        NaN                                    NaN         NaN                           VEONIS        Turn-on         730
                            CHINA          Gu'an            GVO       GVO          42100055                              RS-01                              FAT승인 + 1년        NaN                                    NaN         NaN                         WONIKIPS         Fab In         365
                            CHINA          Wuhan         TIANMA       TES          42000408                              RS-08                             FAB IN + 1년        NaN                                    NaN         NaN                             YMTC         Fab In         365
                            CHINA          Wuhan         TIANMA       TES          42000409                              HT-12                             FAB IN + 1년        NaN                                    NaN         NaN                            ZISYS            FAT         365
                            CHINA          Wuhan         TIANMA  WONIKIPS          42000424                        RSHD-081522                             FAB IN + 1년        NaN                                    NaN         NaN                    SNU Precision        Turn-on         365
                            CHINA          Wuhan           YMTC      YMTC          42000003                              RS-10                                     NaN        NaN                                   DEMO         NaN                       MICRON_F10        Turn-on         730
                            CHINA          Wuhan           CSOT      CSOT          42000407                        HDRS-202215                              FAT승인 + 2년        NaN                                    NaN         NaN                       MICRON_F11        Turn-on         730
                            CHINA          Wuhan           CSOT      CSOT          42100037                        HDRS-202215                              FAT승인 + 2년        NaN                                    NaN         NaN                             CXMT        Turn-on         365
                            CHINA          Wuhan           CSOT      CSOT          42100076                        HDRS-202215                              FAT승인 + 2년        NaN                                    NaN         NaN                              KYS         Fab In         365
                            CHINA          Wuhan           CSOT      CSOT          42100113                        HDRS-202215                              FAT승인 + 2년        NaN                                    NaN         NaN                              ICD         Fab In         365
                            CHINA          Wuhan           CSOT      CSOT          42100109                        HDRS-202215                              FAT승인 + 2년        NaN                                    NaN         NaN                            AVACO         Fab In         365
                            CHINA          Wuhan           CSOT      CSOT          42100114                        HDRS-202215                              FAT승인 + 2년        NaN                                    NaN         NaN                          나노기술연구원         Fab In         365
                            CHINA          Wuhan           CSOT      CSOT          42100111                        HDRS-202215                              FAT승인 + 2년        NaN                                    NaN         NaN                            선익시스템         Fab In         365
                            CHINA          Wuhan           CSOT      CSOT          42100110                        HDRS-202215                              FAT승인 + 2년        NaN                                    NaN         NaN                             유진테크         Fab In         365
                            CHINA          Wuhan           CSOT      CSOT          42100112                        HDRS-202215                              FAT승인 + 2년        NaN                                    NaN         NaN                            유정시스템         Fab In         365
